year,city_nhood,filings,orders,rental_units,filing_rate,order_rate
2016,ALVERNO,4,3,317,1.2618296529968454,0.9463722397476341
2016,ARLINGTON GARDENS,33,17,390,8.461538461538462,4.358974358974359
2016,ARLINGTON HEIGHTS,137,65,1218,11.247947454844006,5.336617405582922
2016,AVENUES WEST,222,110,4945,4.48938321536906,2.224469160768453
2016,BARAN PARK,2,0,43,4.651162790697675,0
2016,BAY VIEW,59,32,3762,1.5683147262094632,0.8506113769271665
2016,BLUEMOUND HEIGHTS,9,4,747,1.2048192771084338,0.535475234270415
2016,BORCHERT FIELD,160,83,972,16.46090534979424,8.539094650205762
2016,BREWER'S HILL,24,10,1118,2.146690518783542,0.8944543828264758
2016,BURNHAM PARK,61,26,1008,6.051587301587301,2.579365079365079
2016,CALUMET FARMS,3,1,722,0.41551246537396125,0.13850415512465375
2016,CAMBRIDGE HEIGHTS,20,11,881,2.2701475595913734,1.2485811577752552
2016,CANNON PARK,5,5,660,0.7575757575757576,0.7575757575757576
2016,CAPITOL HEIGHTS,79,32,920,8.58695652173913,3.4782608695652173
2016,CASTLE MANOR,21,6,948,2.2151898734177213,0.6329113924050633
2016,CLARKE SQUARE,187,100,1781,10.499719258843346,5.614823133071308
2016,CLAYTON CREST,3,2,49,6.122448979591836,4.081632653061225
2016,CLOCK TOWER ACRES,20,11,424,4.716981132075472,2.5943396226415096
2016,COLD SPRING PARK,100,62,1074,9.31098696461825,5.772811918063315
2016,COLUMBUS PARK,77,41,718,10.724233983286908,5.710306406685237
2016,CONCORDIA,274,144,1929,14.204250907205807,7.4650077760497675
2016,COOPER PARK,13,6,519,2.5048169556840074,1.1560693641618496
2016,COPERNICUS PARK,1,0,38,2.631578947368421,0
2016,DINEEN PARK,123,54,1169,10.52181351582549,4.619332763045338
2016,DOWNER WOODS,8,4,415,1.9277108433734942,0.9638554216867471
2016,ENDERIS PARK,60,28,758,7.9155672823219,3.6939313984168867
2016,ESTABROOK PARK,2,2,289,0.6920415224913495,0.6920415224913495
2016,EUCLID PARK,9,4,610,1.4754098360655739,0.6557377049180327
2016,FAIR PARK,12,5,242,4.958677685950414,2.066115702479339
2016,FAIRFIELD,61,15,677,9.010339734121123,2.2156573116691285
2016,FAIRVIEW,10,7,394,2.5380710659898478,1.7766497461928936
2016,FERNWOOD,4,2,484,0.8264462809917356,0.4132231404958678
2016,FLORIST HIGHLANDS,3,2,232,1.293103448275862,0.8620689655172413
2016,FOREST HOME HILLS,74,41,863,8.574739281575898,4.750869061413673
2016,FRANKLIN HEIGHTS,324,151,2151,15.062761506276152,7.0199907019990695
2016,GARDEN HOMES,96,53,696,13.793103448275861,7.614942528735632
2016,GOLDEN VALLEY,16,6,337,4.747774480712167,1.7804154302670623
2016,GOLDMAN PARK,8,3,243,3.292181069958848,1.2345679012345678
2016,GRA-RAM,7,4,419,1.6706443914081146,0.9546539379474941
2016,GRACELAND,55,24,408,13.480392156862745,5.88235294117647
2016,GRANTOSA,30,12,620,4.838709677419355,1.935483870967742
2016,GRASSLYN MANOR,57,28,918,6.209150326797386,3.0501089324618738
2016,GREEN MOOR,1,0,31,3.225806451612903,0
2016,GROVER HEIGHTS,3,2,95,3.1578947368421053,2.1052631578947367
2016,HALYARD PARK,16,5,186,8.60215053763441,2.6881720430107525
2016,HAMPTON HEIGHTS,253,143,1447,17.484450587422256,9.882515549412577
2016,HARAMBEE,378,192,3607,10.479622955364569,5.3229830884391465
2016,HARBOR VIEW,5,1,377,1.3262599469496021,0.2652519893899204
2016,HAVENWOODS,10,4,91,10.989010989010989,4.395604395604396
2016,HAWLEY FARMS,5,0,236,2.11864406779661,0
2016,HAWTHORNE GLEN,1,0,75,1.3333333333333335,0
2016,HAYMARKET,3,1,87,3.4482758620689653,1.1494252873563218
2016,HIGHWOOD ESTATES,10,7,651,1.5360983102918586,1.0752688172043012
2016,HILLSIDE,55,20,1091,5.0412465627864345,1.833180568285976
2016,HISTORIC MITCHELL STREET,215,119,2701,7.960014809329878,4.405775638652351
2016,HISTORIC THIRD WARD,3,0,852,0.35211267605633806,0
2016,HOLLER PARK,1,0,37,2.7027027027027026,0
2016,HONEY CREEK MANOR,8,5,417,1.9184652278177456,1.1990407673860912
2016,HONEY CREEK PARKWAY,4,0,170,2.3529411764705883,0
2016,JACKSON PARK,58,32,1433,4.047452896022331,2.2330774598743894
2016,JOHNSON'S WOODS,14,9,628,2.229299363057325,1.4331210191082804
2016,JUNEAU TOWN,24,15,2653,0.9046362608367886,0.5653976630229929
2016,KILBOURN TOWN,51,21,1645,3.1003039513677813,1.276595744680851
2016,KING PARK,49,28,840,5.833333333333333,3.3333333333333335
2016,KOPS PARK,8,4,346,2.312138728323699,1.1560693641618496
2016,LAYTON PARK,49,28,958,5.11482254697286,2.9227557411273484
2016,LENOX HEIGHTS,25,13,433,5.773672055427252,3.0023094688221708
2016,LINCOLN CREEK,128,54,1526,8.387942332896461,3.5386631716906947
2016,LINCOLN PARK,124,53,1297,9.56052428681573,4.086353122590594
2016,LINCOLN VILLAGE,262,133,2430,10.781893004115227,5.473251028806585
2016,LINDSAY PARK,127,72,1056,12.026515151515152,6.8181818181818175
2016,LITTLE MENOMONEE PARKWAY,22,15,178,12.359550561797752,8.426966292134832
2016,LONG VIEW,63,33,530,11.88679245283019,6.226415094339623
2016,LOWER EAST SIDE,118,54,7676,1.5372589890568005,0.7034914017717562
2016,LYONS PARK,5,0,145,3.4482758620689653,0
2016,MAITLAND PARK,9,5,205,4.390243902439024,2.4390243902439024
2016,MAPLE TREE,169,68,679,24.889543446244478,10.014727540500736
2016,MARTIN DRIVE,25,12,520,4.807692307692308,2.307692307692308
2016,MC GOVERN PARK,77,33,553,13.924050632911392,5.967450271247739
2016,MELODY VIEW,35,14,170,20.588235294117645,8.235294117647058
2016,MENOMONEE RIVER HILLS,238,118,1455,16.3573883161512,8.109965635738831
2016,MENOMONEE RIVER HILLS EAST,84,35,408,20.588235294117645,8.57843137254902
2016,MENOMONEE RIVER PARKWAY,3,2,76,3.9473684210526314,2.631578947368421
2016,MENOMONEE RIVER VALLEY,2,0,32,6.25,0
2016,MERRILL PARK,167,85,1203,13.881961762261014,7.065669160432253
2016,METCALFE PARK,137,75,792,17.2979797979798,9.469696969696969
2016,MIDTOWN,190,85,1767,10.75268817204301,4.81041312959819
2016,MILLER VALLEY,21,14,385,5.454545454545454,3.6363636363636362
2016,MITCHELL FIELD,3,2,69,4.3478260869565215,2.898550724637681
2016,MITCHELL PARK,16,4,208,7.6923076923076925,1.9230769230769231
2016,MITCHELL WEST,13,6,639,2.0344287949921753,0.9389671361502347
2016,MORGAN HEIGHTS,18,10,308,5.844155844155844,3.2467532467532463
2016,MORGANDALE,21,10,900,2.3333333333333335,1.1111111111111112
2016,MOUNT MARY,3,1,146,2.054794520547945,0.684931506849315
2016,MURRAY HILL,36,16,3186,1.1299435028248588,0.5021971123666039
2016,MUSKEGO WAY,173,97,2381,7.265854682906342,4.073918521629567
2016,NASH PARK,23,7,435,5.287356321839081,1.6091954022988506
2016,NATIONAL PARK,43,25,607,7.0840197693574956,4.118616144975288
2016,NEW COELN,16,7,22,72.72727272727273,31.818181818181817
2016,NORTH DIVISION,285,159,2141,13.311536665109761,7.426436244745446
2016,NORTHPOINT,8,6,1284,0.6230529595015576,0.46728971962616817
2016,OLD NORTH MILWAUKEE,574,308,3681,15.593588698723174,8.367291496875849
2016,PARK KNOLL,4,2,60,6.666666666666667,3.3333333333333335
2016,PARK VIEW,3,2,35,8.571428571428571,5.714285714285714
2016,PARK WEST,302,148,1743,17.326448651749857,8.49110728628801
2016,PARKWAY HILLS,16,10,203,7.8817733990147785,4.926108374384237
2016,PHEASANT RUN,1,1,176,0.5681818181818182,0.5681818181818182
2016,POLONIA,60,28,857,7.001166861143523,3.267211201866978
2016,RED OAK HEIGHTS,1,0,15,6.666666666666667,0
2016,RIVER BEND,1,0,224,0.4464285714285714,0
2016,RIVERSIDE PARK,2,2,604,0.33112582781456956,0.33112582781456956
2016,RIVERWEST,108,49,4196,2.5738798856053386,1.1677788369876072
2016,ROLLING GREEN,6,3,461,1.3015184381778742,0.6507592190889371
2016,ROOSEVELT GROVE,143,69,1255,11.39442231075697,5.49800796812749
2016,ROOT CREEK,11,8,408,2.696078431372549,1.9607843137254901
2016,RUFUS KING,186,102,1071,17.366946778711483,9.523809523809524
2016,SAINT JOSEPH,195,105,1597,12.210394489668127,6.5748278021289925
2016,SAVELAND PARK,2,1,141,1.4184397163120568,0.7092198581560284
2016,SHERMAN PARK,247,147,1685,14.658753709198812,8.724035608308606
2016,SILVER CITY,54,20,868,6.221198156682028,2.3041474654377883
2016,SILVER SPRING,501,223,3056,16.393979057591622,7.297120418848167
2016,SILVER SWAN,188,94,886,21.21896162528217,10.609480812641085
2016,SOUTHGATE,17,5,536,3.171641791044776,0.9328358208955223
2016,SOUTHPOINT,41,12,936,4.38034188034188,1.282051282051282
2016,ST. AMELIAN'S,42,15,334,12.574850299401197,4.491017964071856
2016,STORY HILL,10,3,363,2.7548209366391188,0.8264462809917356
2016,SUNSET HEIGHTS,55,32,716,7.681564245810056,4.4692737430167595
2016,THE VALLEY / PIGSVILLE,3,0,136,2.2058823529411766,0
2016,THURSTON WOODS,149,83,944,15.783898305084746,8.792372881355933
2016,TIMMERMAN AIRPORT,23,8,163,14.11042944785276,4.9079754601226995
2016,TIMMERMAN WEST,131,52,1351,9.696521095484826,3.84900074019245
2016,TIPPECANOE,14,6,701,1.9971469329529243,0.8559201141226819
2016,TOWN & COUNTRY MANOR,44,21,676,6.508875739644971,3.106508875739645
2016,TOWN OF LAKE,21,16,591,3.5532994923857872,2.707275803722504
2016,TRIANGLE,9,7,91,9.89010989010989,7.6923076923076925
2016,TRIANGLE NORTH,38,22,533,7.129455909943714,4.127579737335835
2016,TRIPOLI PARK,51,22,289,17.647058823529413,7.612456747404845
2016,UPPER EAST SIDE,7,2,859,0.8149010477299184,0.23282887077997672
2016,UPTOWN,204,105,1500,13.600000000000001,7.000000000000001
2016,VALHALLA,267,141,1102,24.228675136116152,12.79491833030853
2016,VALLEY FORGE,2,1,60,3.3333333333333335,1.6666666666666667
2016,VOGEL PARK,67,23,739,9.066305818673884,3.1123139377537212
2016,WAHL PARK,94,42,610,15.40983606557377,6.885245901639345
2016,WALKER'S POINT,141,76,2688,5.245535714285714,2.8273809523809526
2016,WALNUT HILL,69,30,595,11.596638655462185,5.042016806722689
2016,WASHINGTON HEIGHTS,52,21,1196,4.3478260869565215,1.7558528428093645
2016,WASHINGTON PARK,232,118,1415,16.395759717314487,8.33922261484099
2016,WEDGEWOOD,2,2,243,0.823045267489712,0.823045267489712
2016,WEST VIEW,13,3,409,3.1784841075794623,0.7334963325183375
2016,WHITE MANOR,12,4,283,4.240282685512367,1.4134275618374559
2016,WICK FIELD,4,1,197,2.030456852791878,0.5076142131979695
2016,WILLIAMSBURG,76,38,600,12.666666666666668,6.333333333333334
2016,WILSON PARK,18,9,586,3.0716723549488054,1.5358361774744027
2016,WOODLAND COURT,23,7,341,6.744868035190615,2.0527859237536656
2016,WYRICK PARK,49,31,574,8.536585365853659,5.400696864111499
2016,YANKEE HILL,48,25,2254,2.129547471162378,1.109139307897072
2017,ALCOTT PARK,1,1,63,1.5873015873015872,1.5873015873015872
2017,ALVERNO,5,3,317,1.5772870662460567,0.9463722397476341
2017,ARLINGTON GARDENS,35,17,385,9.090909090909092,4.415584415584416
2017,ARLINGTON HEIGHTS,160,75,1211,13.212221304706853,6.193228736581338
2017,AVENUES WEST,280,131,4940,5.668016194331984,2.651821862348178
2017,BARAN PARK,7,1,43,16.27906976744186,2.3255813953488373
2017,BAY VIEW,41,19,3777,1.0855176065660577,0.5030447445062218
2017,BLUEMOUND HEIGHTS,25,14,747,3.3467202141900936,1.8741633199464525
2017,BORCHERT FIELD,156,85,969,16.09907120743034,8.771929824561402
2017,BREWER'S HILL,33,16,1105,2.986425339366516,1.4479638009049773
2017,BURNHAM PARK,49,27,1095,4.474885844748858,2.4657534246575343
2017,CALUMET FARMS,1,0,724,0.13812154696132595,0
2017,CAMBRIDGE HEIGHTS,15,7,900,1.6666666666666667,0.7777777777777778
2017,CANNON PARK,4,2,665,0.6015037593984963,0.30075187969924816
2017,CAPITOL HEIGHTS,115,42,910,12.637362637362637,4.615384615384616
2017,CASTLE MANOR,25,11,948,2.6371308016877637,1.160337552742616
2017,CLARKE SQUARE,169,81,1771,9.542631281761716,4.573687182382835
2017,CLOCK TOWER ACRES,31,12,418,7.4162679425837315,2.8708133971291865
2017,COLD SPRING PARK,107,54,1052,10.171102661596958,5.133079847908745
2017,COLLEGE HEIGHTS,1,0,23,4.3478260869565215,0
2017,COLUMBUS PARK,78,34,726,10.743801652892563,4.683195592286501
2017,CONCORDIA,320,179,1931,16.57172449508027,9.269808389435525
2017,COOPER PARK,24,8,506,4.743083003952568,1.5810276679841897
2017,COPERNICUS PARK,2,1,37,5.405405405405405,2.7027027027027026
2017,DINEEN PARK,143,43,1171,12.211784799316822,3.6720751494449186
2017,DOWNER WOODS,6,1,416,1.4423076923076923,0.2403846153846154
2017,ENDERIS PARK,47,21,747,6.291834002677376,2.8112449799196786
2017,ESTABROOK PARK,1,1,289,0.34602076124567477,0.34602076124567477
2017,EUCLID PARK,7,2,616,1.1363636363636365,0.3246753246753247
2017,FAIR PARK,8,3,237,3.375527426160337,1.2658227848101267
2017,FAIRFIELD,49,21,682,7.184750733137831,3.0791788856304985
2017,FAIRVIEW,11,6,385,2.857142857142857,1.5584415584415585
2017,FERNWOOD,6,5,478,1.2552301255230125,1.0460251046025104
2017,FLORIST HIGHLANDS,5,2,244,2.0491803278688523,0.819672131147541
2017,FOREST HOME HILLS,88,44,863,10.196987253765933,5.098493626882966
2017,FRANKLIN HEIGHTS,309,161,2139,14.446002805049089,7.526881720430108
2017,GARDEN HOMES,70,35,704,9.943181818181818,4.971590909090909
2017,GOLDEN GATE,1,0,21,4.761904761904762,0
2017,GOLDEN VALLEY,9,4,341,2.6392961876832843,1.1730205278592376
2017,GOLDMAN PARK,6,4,233,2.575107296137339,1.7167381974248928
2017,GRA-RAM,5,2,420,1.1904761904761905,0.4761904761904762
2017,GRACELAND,42,19,420,10,4.523809523809524
2017,GRANTOSA,33,11,621,5.314009661835748,1.7713365539452495
2017,GRASSLYN MANOR,52,21,923,5.633802816901409,2.275189599133261
2017,GREEN MOOR,5,2,31,16.129032258064516,6.451612903225806
2017,GROVER HEIGHTS,11,5,96,11.458333333333332,5.208333333333334
2017,HALYARD PARK,13,5,187,6.951871657754011,2.6737967914438503
2017,HAMPTON HEIGHTS,215,100,1459,14.736120630568884,6.854009595613434
2017,HARAMBEE,419,197,3581,11.700642278693103,5.501256632225635
2017,HARBOR VIEW,5,2,449,1.1135857461024499,0.4454342984409799
2017,HAVENWOODS,14,5,92,15.217391304347828,5.434782608695652
2017,HAWLEY FARMS,7,3,242,2.8925619834710745,1.2396694214876034
2017,HAWTHORNE GLEN,3,2,68,4.411764705882353,2.941176470588235
2017,HAYMARKET,4,2,159,2.515723270440252,1.257861635220126
2017,HIGHWOOD ESTATES,11,4,655,1.6793893129770994,0.6106870229007634
2017,HILLSIDE,46,9,1092,4.212454212454213,0.8241758241758242
2017,HISTORIC MITCHELL STREET,231,106,2748,8.406113537117903,3.8573508005822417
2017,HISTORIC THIRD WARD,2,1,1030,0.1941747572815534,0.0970873786407767
