year,city_nhood,violations,orders,rental_units,violation_rate,order_rate
2017,ALCOTT PARK,20,6,63,31.746031746031743,9.523809523809524
2017,ALVERNO,26,5,283,9.187279151943462,1.76678445229682
2017,ARLINGTON GARDENS,36,19,384,9.375,4.947916666666666
2017,ARLINGTON HEIGHTS,1327,152,1183,112.1724429416737,12.848689771766693
2017,AVENUES WEST,603,176,4899,12.308634415186773,3.592569912226985
2017,BARAN PARK,88,12,44,200,27.27272727272727
2017,BAY VIEW,676,368,3782,17.87414066631412,9.730301427815972
2017,BLUEMOUND HEIGHTS,321,76,718,44.70752089136491,10.584958217270195
2017,BORCHERT FIELD,2092,203,940,222.5531914893617,21.595744680851066
2017,BRADLEY ESTATES,59,23,746,7.908847184986595,3.0831099195710454
2017,BREWER'S HILL,339,65,979,34.62717058222676,6.639427987742594
2017,BRYNWOOD,4,3,5,80,60
2017,BURNHAM PARK,289,92,1072,26.958955223880597,8.582089552238806
2017,CALUMET FARMS,32,12,726,4.40771349862259,1.6528925619834711
2017,CAMBRIDGE HEIGHTS,111,33,901,12.319644839067703,3.662597114317425
2017,CANNON PARK,99,25,626,15.814696485623003,3.993610223642172
2017,CAPITOL HEIGHTS,144,52,910,15.824175824175823,5.714285714285714
2017,CASTLE MANOR,83,29,983,8.44354018311292,2.950152594099695
2017,CLARKE SQUARE,531,147,1787,29.714605484051482,8.226077224398432
2017,CLAYTON CREST,17,8,54,31.48148148148148,14.814814814814813
2017,CLOCK TOWER ACRES,260,35,429,60.60606060606061,8.158508158508159
2017,COLD SPRING PARK,416,104,1059,39.2823418319169,9.820585457979226
2017,COLLEGE HEIGHTS,3,2,23,13.043478260869565,8.695652173913043
2017,COLUMBUS PARK,96,35,732,13.114754098360656,4.781420765027322
2017,CONCORDIA,744,173,1851,40.19448946515397,9.346299297676932
2017,COOPER PARK,108,42,507,21.301775147928996,8.284023668639055
2017,COPERNICUS PARK,25,3,37,67.56756756756756,8.108108108108109
2017,DINEEN PARK,151,55,1165,12.96137339055794,4.721030042918455
2017,DOWNER WOODS,47,12,415,11.325301204819278,2.891566265060241
2017,DRETZKA PARK,9,3,115,7.82608695652174,2.608695652173913
2017,ENDERIS PARK,95,38,746,12.734584450402146,5.093833780160858
2017,EUCLID PARK,51,15,609,8.374384236453201,2.4630541871921183
2017,FAIR PARK,50,13,237,21.09704641350211,5.485232067510549
2017,FAIRFIELD,122,39,679,17.96759941089838,5.743740795287187
2017,FAIRVIEW,107,43,377,28.381962864721483,11.405835543766578
2017,FERNWOOD,150,102,475,31.57894736842105,21.47368421052632
2017,FLORIST HIGHLANDS,63,14,243,25.925925925925924,5.761316872427984
2017,FOREST HOME HILLS,563,209,855,65.84795321637426,24.444444444444443
2017,FRANKLIN HEIGHTS,2464,369,2067,119.20657958393808,17.851959361393323
2017,GARDEN HOMES,768,118,706,108.78186968838529,16.71388101983003
2017,GOLDEN GATE,8,6,21,38.095238095238095,28.57142857142857
2017,GOLDEN VALLEY,51,26,339,15.04424778761062,7.669616519174041
2017,GOLDMAN PARK,27,11,231,11.688311688311687,4.761904761904762
2017,GRA-RAM,78,23,406,19.21182266009852,5.665024630541872
2017,GRACELAND,208,65,419,49.64200477326969,15.513126491646778
2017,GRANTOSA,23,9,623,3.6918138041733553,1.4446227929373996
2017,GRANVILLE STATION,32,18,690,4.63768115942029,2.608695652173913
2017,GRANVILLE WOODS,6,2,2,300,100
2017,GRASSLYN MANOR,175,38,921,19.001085776330076,4.125950054288817
2017,GREEN MOOR,8,2,30,26.666666666666668,6.666666666666667
2017,GROVER HEIGHTS,98,12,94,104.25531914893618,12.76595744680851
2017,HALYARD PARK,110,27,159,69.18238993710692,16.9811320754717
2017,HAMPTON HEIGHTS,641,150,1443,44.42134442134442,10.395010395010395
2017,HARAMBEE,3417,508,3447,99.12967798085292,14.737452857557296
2017,HARBOR VIEW,16,5,447,3.5794183445190155,1.1185682326621924
2017,HARDER'S OAKS,13,3,18,72.22222222222221,16.666666666666664
2017,HAVENWOODS,27,8,90,30,8.88888888888889
2017,HAWLEY FARMS,18,6,243,7.4074074074074066,2.4691358024691357
2017,HAWTHORNE GLEN,26,8,67,38.80597014925373,11.940298507462686
2017,HERITAGE HEIGHTS,7,3,20,35,15
2017,HIGHWOOD ESTATES,72,23,654,11.009174311926607,3.5168195718654434
2017,HILLSIDE,7,1,542,1.2915129151291513,0.18450184501845018
2017,HISTORIC MITCHELL STREET,1651,368,2710,60.92250922509225,13.579335793357933
2017,HISTORIC THIRD WARD,28,11,999,2.8028028028028027,1.1011011011011012
2017,HOLLER PARK,19,4,39,48.717948717948715,10.256410256410255
2017,HONEY CREEK MANOR,47,27,411,11.435523114355231,6.569343065693431
2017,HONEY CREEK PARKWAY,58,11,176,32.95454545454545,6.25
2017,JACKSON PARK,252,84,1426,17.67180925666199,5.890603085553997
2017,JOHNSON'S WOODS,360,73,617,58.34683954619124,11.831442463533225
2017,JUNEAU TOWN,153,30,2900,5.275862068965517,1.0344827586206897
2017,KILBOURN TOWN,48,17,1852,2.591792656587473,0.9179265658747301
2017,KING PARK,62,16,815,7.6073619631901845,1.96319018404908
2017,KOPS PARK,58,22,334,17.365269461077844,6.58682634730539
2017,LAND BANK,1,1,11,9.090909090909092,9.090909090909092
2017,LAYTON PARK,491,158,956,51.35983263598326,16.527196652719663
2017,LENOX HEIGHTS,156,48,435,35.86206896551724,11.03448275862069
2017,LINCOLN CREEK,453,113,1169,38.75106928999145,9.666381522668948
2017,LINCOLN PARK,582,101,1293,45.011600928074245,7.8112915699922665
2017,LINCOLN VILLAGE,1531,493,2400,63.79166666666667,20.541666666666668
2017,LINDSAY PARK,86,24,1034,8.317214700193423,2.321083172147002
2017,LITTLE MENOMONEE PARKWAY,28,14,176,15.909090909090908,7.954545454545454
2017,LONG VIEW,111,40,552,20.108695652173914,7.246376811594203
2017,LOWER EAST SIDE,862,280,7945,10.849590937696664,3.524229074889868
2017,LYONS PARK,27,11,146,18.493150684931507,7.534246575342466
2017,MACK ACRES,5,2,6,83.33333333333334,33.33333333333333
2017,MAITLAND PARK,29,11,194,14.948453608247423,5.670103092783505
2017,MAPLE TREE,99,31,682,14.516129032258066,4.545454545454546
2017,MARTIN DRIVE,304,47,519,58.57418111753372,9.05587668593449
2017,MC GOVERN PARK,285,80,566,50.35335689045937,14.13427561837456
2017,MELODY VIEW,13,7,169,7.6923076923076925,4.142011834319527
2017,MENOMONEE RIVER HILLS,272,107,1455,18.694158075601376,7.353951890034365
2017,MENOMONEE RIVER HILLS EAST,109,39,410,26.585365853658537,9.512195121951219
2017,MENOMONEE RIVER PARKWAY,31,7,78,39.743589743589745,8.974358974358974
2017,MENOMONEE RIVER VALLEY,5,3,32,15.625,9.375
2017,MERRILL PARK,778,218,1169,66.55260906757913,18.64841745081266
2017,METCALFE PARK,482,80,753,64.01062416998671,10.624169986719787
2017,MIDTOWN,826,145,1717,48.10716365754222,8.44496214327315
2017,MILL VALLEY,14,5,40,35,12.5
2017,MILLER VALLEY,189,49,379,49.86807387862797,12.928759894459102
2017,MITCHELL FIELD,15,4,66,22.727272727272727,6.0606060606060606
2017,MITCHELL PARK,21,5,176,11.931818181818182,2.840909090909091
2017,MITCHELL WEST,112,40,594,18.855218855218855,6.7340067340067336
2017,MORGAN HEIGHTS,39,22,300,13,7.333333333333333
2017,MORGANDALE,186,90,885,21.01694915254237,10.16949152542373
2017,MOUNT MARY,36,15,139,25.899280575539567,10.79136690647482
2017,MOUNT OLIVET,2,1,13,15.384615384615385,7.6923076923076925
2017,MURRAY HILL,108,27,3213,3.361344537815126,0.8403361344537815
2017,MUSKEGO WAY,867,230,2402,36.094920899250624,9.575353871773522
2017,NASH PARK,88,37,426,20.657276995305164,8.685446009389672
2017,NATIONAL PARK,144,47,612,23.52941176470588,7.6797385620915035
2017,NEW COELN,10,5,23,43.47826086956522,21.73913043478261
2017,NORTH DIVISION,2119,303,1933,109.62234868080702,15.675116399379203
2017,NORTH GRANVILLE,4,2,11,36.36363636363637,18.181818181818183
2017,NORTH MEADOWS,245,48,1304,18.788343558282207,3.6809815950920246
2017,NORTHPOINT,55,31,1341,4.1014168530947055,2.3117076808351977
2017,NORTHRIDGE,95,32,559,16.99463327370304,5.724508050089446
2017,NORTHRIDGE LAKES,32,10,1097,2.917046490428441,0.9115770282588878
2017,OLD NORTH MILWAUKEE,2948,512,3735,78.92904953145917,13.708165997322624
2017,PARK KNOLL,33,9,59,55.932203389830505,15.254237288135593
2017,PARK PLACE,2,1,24,8.333333333333332,4.166666666666666
2017,PARK VIEW,9,3,35,25.71428571428571,8.571428571428571
2017,PARK WEST,1824,305,1662,109.74729241877257,18.351383874849578
2017,PARKWAY HILLS,9,5,198,4.545454545454546,2.525252525252525
2017,PHEASANT RUN,75,17,176,42.61363636363637,9.659090909090908
2017,POLLBER HEIGHTS,47,26,141,33.33333333333333,18.439716312056735
2017,POLONIA,259,94,862,30.046403712296982,10.904872389791183
2017,RIDGEVIEW,14,5,24,58.333333333333336,20.833333333333336
2017,RIVER BEND,73,23,229,31.877729257641924,10.043668122270741
2017,RIVERSIDE PARK,72,17,594,12.121212121212121,2.861952861952862
2017,RIVERTON HEIGHTS,46,18,155,29.677419354838708,11.612903225806452
2017,RIVERWEST,1526,424,4171,36.58595061136418,10.165427954926876
2017,ROLLING GREEN,85,28,445,19.101123595505616,6.292134831460674
2017,ROOSEVELT GROVE,653,118,1251,52.1982414068745,9.432454036770583
2017,ROOT CREEK,77,31,404,19.05940594059406,7.673267326732673
2017,RUFUS KING,1006,144,1083,92.89012003693445,13.29639889196676
2017,SAINT JOSEPH,1084,213,1545,70.16181229773463,13.78640776699029
2017,SAVELAND PARK,29,9,143,20.27972027972028,6.293706293706294
2017,SERVITE WOODS,49,20,355,13.802816901408452,5.633802816901409
2017,SHERMAN PARK,1335,237,1666,80.13205282112845,14.225690276110445
2017,SILVER CITY,312,93,871,35.82089552238806,10.677382319173363
2017,SILVER SPRING,695,216,3021,23.00562727573651,7.149950347567032
2017,SILVER SWAN,148,46,884,16.7420814479638,5.203619909502263
2017,SOUTHGATE,26,9,518,5.019305019305019,1.7374517374517375
2017,SOUTHPOINT,54,28,932,5.793991416309012,3.004291845493562
2017,ST. AMELIAN'S,35,15,332,10.542168674698797,4.518072289156627
2017,STORY HILL,89,27,354,25.141242937853107,7.627118644067797
2017,SUNSET HEIGHTS,283,40,723,39.14246196403873,5.532503457814661
2017,THE VALLEY / PIGSVILLE,109,22,135,80.74074074074075,16.296296296296298
2017,THURSTON WOODS,517,136,968,53.40909090909091,14.049586776859504
2017,TIMMERMAN AIRPORT,19,8,161,11.801242236024844,4.968944099378882
2017,TIMMERMAN WEST,111,34,1343,8.265078183172003,2.5316455696202533
2017,TIPPECANOE,157,106,701,22.39657631954351,15.121255349500714
2017,TOWN & COUNTRY MANOR,102,27,635,16.062992125984252,4.251968503937007
2017,TOWN OF LAKE,115,47,587,19.591141396933562,8.006814310051109
2017,TRIANGLE,104,21,91,114.28571428571428,23.076923076923077
2017,TRIANGLE NORTH,131,27,445,29.438202247191008,6.067415730337078
2017,TRIPOLI PARK,32,15,295,10.847457627118644,5.084745762711865
2017,UPPER EAST SIDE,255,57,867,29.411764705882355,6.5743944636678195
2017,UPTOWN,815,164,1501,54.297135243171226,10.926049300466357
2017,VALHALLA,137,48,1108,12.364620938628159,4.332129963898916
2017,VALLEY FORGE,5,2,55,9.090909090909092,3.6363636363636362
2017,VOGEL PARK,17,10,739,2.3004059539918806,1.3531799729364005
2017,WAHL PARK,73,22,606,12.046204620462046,3.6303630363036308
2017,WALKER'S POINT,1052,261,2787,37.74668101901686,9.364908503767493
2017,WALNUT HILL,357,52,559,63.864042933810374,9.30232558139535
2017,WASHINGTON HEIGHTS,366,94,1151,31.7984361424848,8.166811468288444
2017,WASHINGTON PARK,1324,212,1368,96.78362573099415,15.497076023391813
2017,WEDGEWOOD,53,33,246,21.544715447154474,13.414634146341465
2017,WEST VIEW,55,16,410,13.414634146341465,3.902439024390244
2017,WHISPERING HILLS,20,10,310,6.451612903225806,3.225806451612903
2017,WHITE MANOR,53,19,280,18.928571428571427,6.785714285714286
2017,WICK FIELD,13,5,194,6.701030927835052,2.5773195876288657
2017,WILLIAMSBURG,880,127,619,142.16478190630048,20.516962843295637
2017,WILSON PARK,115,42,579,19.86183074265976,7.253886010362693
2017,WOODLAND COURT,5,2,341,1.466275659824047,0.5865102639296188
2017,WYRICK PARK,14,7,574,2.4390243902439024,1.2195121951219512
2017,YANKEE HILL,162,30,2333,6.943849121303043,1.2858979854264894
2018,ALCOTT PARK,13,4,64,20.3125,6.25
2018,ALVERNO,48,16,287,16.72473867595819,5.574912891986063
2018,ARLINGTON GARDENS,64,23,389,16.452442159383033,5.912596401028278
2018,ARLINGTON HEIGHTS,966,134,1190,81.17647058823529,11.260504201680673
2018,AVENUES WEST,839,244,4953,16.939228750252372,4.926307288512013
2018,BARAN PARK,45,10,41,109.75609756097562,24.390243902439025
2018,BAY VIEW,694,368,3876,17.90505675954592,9.494324045407637
2018,BLUEMOUND HEIGHTS,243,60,709,34.27362482369535,8.46262341325811
2018,BORCHERT FIELD,1084,125,958,113.15240083507308,13.048016701461378
2018,BRADLEY ESTATES,113,33,770,14.675324675324674,4.285714285714286
2018,BREWER'S HILL,238,67,1101,21.61671207992734,6.085376930063579
2018,BRYNWOOD,3,3,5,60,60
2018,BURNHAM PARK,367,103,1070,34.29906542056075,9.626168224299066
2018,CALUMET FARMS,64,26,724,8.83977900552486,3.591160220994475
2018,CAMBRIDGE HEIGHTS,48,21,904,5.3097345132743365,2.3230088495575223
2018,CANNON PARK,117,45,631,18.54199683042789,7.131537242472266
2018,CAPITOL HEIGHTS,185,63,926,19.978401727861772,6.8034557235421165
2018,CASTLE MANOR,101,51,972,10.390946502057613,5.246913580246913
2018,CLARKE SQUARE,532,148,1789,29.737283398546676,8.272778088317496
2018,CLAYTON CREST,15,5,52,28.846153846153843,9.615384615384617
2018,CLOCK TOWER ACRES,135,37,428,31.542056074766357,8.644859813084112
2018,COLD SPRING PARK,341,63,1069,31.898971000935454,5.893358278765201
2018,COLLEGE HEIGHTS,14,7,24,58.333333333333336,29.166666666666668
2018,COLUMBUS PARK,100,37,749,13.351134846461948,4.939919893190922
2018,CONCORDIA,671,154,1852,36.23110151187905,8.315334773218144
2018,COOPER PARK,269,138,502,53.58565737051792,27.490039840637447
2018,COPERNICUS PARK,12,4,41,29.268292682926827,9.75609756097561
2018,DINEEN PARK,259,110,1179,21.96776929601357,9.32994062765055
2018,DOWNER WOODS,9,6,408,2.2058823529411766,1.4705882352941175
2018,DRETZKA PARK,6,2,113,5.3097345132743365,1.7699115044247788
2018,ENDERIS PARK,267,147,729,36.62551440329218,20.16460905349794
2018,ESTABROOK PARK,1,1,380,0.2631578947368421,0.2631578947368421
2018,EUCLID PARK,92,44,603,15.257048092868988,7.2968490878938645
2018,FAIR PARK,47,15,235,20,6.382978723404255
2018,FAIRFIELD,179,45,690,25.94202898550725,6.521739130434782
2018,FAIRVIEW,109,51,370,29.45945945945946,13.783783783783784
2018,FERNWOOD,49,19,477,10.272536687631026,3.9832285115303985
2018,FLORIST HIGHLANDS,60,12,231,25.97402597402597,5.194805194805195
2018,FOREST HOME HILLS,586,177,882,66.43990929705215,20.068027210884352
2018,FRANKLIN HEIGHTS,1528,214,2099,72.79656979514054,10.195331110052406
2018,FREEDOM VILLAGE,1,1,172,0.5813953488372093,0.5813953488372093
2018,GARDEN HOMES,423,78,708,59.7457627118644,11.016949152542372
2018,GOLDEN GATE,24,8,22,109.09090909090908,36.36363636363637
2018,GOLDEN VALLEY,142,74,351,40.45584045584046,21.082621082621085
2018,GOLDMAN PARK,57,29,235,24.25531914893617,12.340425531914894
2018,GRA-RAM,88,32,405,21.728395061728396,7.901234567901234
2018,GRACELAND,139,51,422,32.93838862559242,12.085308056872037
2018,GRANTOSA,88,45,625,14.08,7.199999999999999
2018,GRANVILLE STATION,34,14,695,4.892086330935252,2.014388489208633
2018,GRASSLYN MANOR,178,68,920,19.34782608695652,7.391304347826087
2018,GREEN MOOR,37,9,29,127.58620689655173,31.03448275862069
2018,GROVER HEIGHTS,4,3,96,4.166666666666666,3.125
2018,HALYARD PARK,72,22,276,26.08695652173913,7.971014492753622
2018,HAMPTON HEIGHTS,434,102,1465,29.624573378839592,6.96245733788396
2018,HARAMBEE,3991,600,3405,117.20998531571219,17.62114537444934
2018,HARBOR VIEW,29,9,446,6.502242152466367,2.0179372197309418
2018,HARDER'S OAKS,20,5,17,117.64705882352942,29.411764705882355
2018,HAVENWOODS,34,12,92,36.95652173913043,13.043478260869565
2018,HAWLEY FARMS,59,26,237,24.894514767932492,10.970464135021098
2018,HAWTHORNE GLEN,69,8,63,109.52380952380953,12.698412698412698
2018,HAYMARKET,23,10,159,14.465408805031446,6.289308176100629
2018,HERITAGE HEIGHTS,8,4,18,44.44444444444444,22.22222222222222
2018,HIGHWOOD ESTATES,144,48,648,22.22222222222222,7.4074074074074066
2018,HILLSIDE,4,2,541,0.7393715341959335,0.36968576709796674
2018,HISTORIC MITCHELL STREET,1726,448,2703,63.85497595264521,16.574176840547537
2018,HISTORIC THIRD WARD,7,6,991,0.7063572149344097,0.6054490413723511
