year,filings,orders,rental_units,filing_rate,order_rate
2016,10857,5402,145371,7.468477206595538,3.7160093828892973
2017,11607,5325,146548,7.920271856320113,3.633621748505609
2018,11414,5054,148023,7.710963836701053,3.4143342588651766
2019,11369,4921,149027,7.628818938850007,3.302086199145121
2020,7513,2496,148720,5.0517751479289945,1.6783216783216783
2021,6711,2746,147730,4.542746903134097,1.8587964529885603
2022,11665,4680,147403,7.9136788260754525,3.1749693018459597
2023,11506,4596,147186,7.817319582025465,3.122579593167828
2024,8176,2572,147285,5.551142343076348,1.7462742302339
